SiteName	ManagementArea	Case	MeanWaterTemperature	Density	Company	Vaccine	SeaLice	GillDisease	FailedSmolt	
SiteName1	C	0	9	7.6	FishyMcFishface	Pinj	0	0	0	
SiteName2	A	0	6.6	11.4	Salmodaz	Dban	1	0	0	
SiteName3	C	0	8.5	11.5	Salmodaz	Dban	1	0	0	
SiteName4	A	1	7	7.77	Salmodaz	Dban	1	0	1	
SiteName5	A	1	7	9.94	Salarvate	Dban	1	0	0	
SiteName6	C	0	8.7	4.97	Salmodaz	MacroA	1	0	0	
SiteName7	E	1	11.3	31.4	Salmodaz	MacroA	1	0	0	
SiteName8	A	1	6.5	18	Salarvate	Dban	0	0	0	
SiteName9	D	1	10	14.4	Salmodaz	MacroA	1	0	0	
SiteName10	B	0	8.1	5.69	Piskie	Pinj	0	1	0	
SiteName11	E	0	10.8	6.2	Salarvate	Dban	1	0	0	
SiteName12	D	0	9.3	15.6	Piskie	MacroA	1	0	0	
SiteName13	C	1	8.6	14.2	Salarvate	Dban	0	0	1	
SiteName14	C	1	9.3	22.9	FishyMcFishface	Pinj	0	0	0	
SiteName15	A	0	7	7.51	Piskie	MacroA	1	0	0	
SiteName16	D	0	9.3	13.5	Salmodaz	Dban	1	0	0	
SiteName17	A	0	6.9	16.5	Salarvate	Dban	1	1	0	
SiteName18	D	0	10.5	8.88	Salarvate	Dban	0	1	0	
SiteName19	B	0	8.5	12.4	Salmodaz	Dban	0	0	0	
SiteName20	D	0	9.2	8.83	FishyMcFishface	Pinj	1	0	1	
SiteName21	C	0	9.2	18.5	Salarvate	Dban	0	0	1	
SiteName22	E	1	11.5	31.6	FishyMcFishface	Pinj	1	1	1	
SiteName23	E	0	11.3	8.63	FishyMcFishface	Pinj	0	0	1	
SiteName24	C	0	9	6.01	Salmodaz	MacroA	1	1	0	
SiteName25	A	0	6.9	3.2	Salmodaz	MacroA	0	0	1	
SiteName26	D	0	9.5	11.1	FishyMcFishface	Pinj	0	0	0	
SiteName27	A	0	6.5	10.9	Salarvate	Dban	0	0	0	
SiteName28	E	1	10.9	21.4	Piskie	MacroA	0	0	0	
SiteName29	C	1	9.1	10.5	Piskie	Pinj	1	0	0	
SiteName30	B	1	8.5	9.63	Salarvate	Dban	1	1	1	
SiteName31	A	0	6.1	15	Salmodaz	MacroA	0	0	0	
SiteName32	A	1	6.1	32.8	Salarvate	Dban	0	0	0	
SiteName33	D	1	9.6	8.1	FishyMcFishface	Pinj	1	0	0	
SiteName34	D	1	9.7	24.5	Piskie	MacroA	1	0	0	
SiteName35	C	0	9.1	9.82	FishyMcFishface	Pinj	1	1	0	
SiteName36	B	1	7.9	11	Piskie	MacroA	1	0	0	
SiteName37	D	0	10	18.7	Piskie	Pinj	1	1	0	
SiteName38	B	1	8.2	12	Salarvate	Dban	1	0	1	
SiteName39	E	1	10.8	16.1	Piskie	MacroA	0	0	0	
SiteName40	A	0	6.8	8.52	Salmodaz	MacroA	0	0	1	
SiteName41	D	0	9.9	9.68	Piskie	Pinj	1	0	1	
SiteName42	C	1	8.9	12	Piskie	MacroA	1	1	1	
SiteName43	B	1	7.6	14.3	Salarvate	Dban	0	1	0	
SiteName44	A	0	6.4	7.96	Piskie	Pinj	1	0	0	
